iter	RMSE
399	1469.068367
400	1468.52828
401	1466.312251
402	1466.293517
403	1465.167406
404	1465.114023
405	1465.091807
406	1464.745899
407	1462.632012
408	1460.853811
409	1459.965837
410	1459.184567
411	1458.767969
412	1458.749273
413	1457.660231
414	1456.900342
415	1456.464344
416	1455.502172
417	1454.098127
418	1452.758792
419	1452.459018
420	1451.606393
421	1451.369959
422	1449.62156
423	1448.788737
424	1447.835824
425	1446.939815
426	1445.649871
427	1445.390274
428	1443.816255
429	1443.784095
430	1442.860276
431	1441.878458
432	1440.392187
433	1440.372701
434	1439.37591
435	1438.335912
436	1437.739362
437	1437.395276
438	1436.165852
439	1433.977201
440	1433.617321
441	1433.064781
442	1431.81509
443	1430.511107
444	1430.01601
445	1429.060346
446	1428.335502
447	1426.628882
448	1426.353412
449	1426.3499
450	1425.42998
451	1424.939023
452	1424.043236
453	1422.555434
454	1422.305499
455	1421.253691
456	1420.65528
457	1419.761654
458	1418.885694
459	1417.922893
460	1417.200236
461	1415.903625
462	1414.892589
463	1414.275185
464	1412.610198
465	1411.995298
466	1410.488856
467	1410.273631
468	1409.479683
469	1409.47677
470	1407.720767
471	1407.702585
472	1407.682991
473	1407.681521
474	1407.679268
475	1406.229907
476	1404.815555
477	1404.018997
478	1402.630346
479	1401.896021
480	1401.131249
481	1400.694142
482	1399.761597
483	1398.346819
484	1397.873088
485	1397.285759
486	1396.318697
487	1394.969095
488	1394.331054
489	1394.282696
490	1394.228193
491	1393.173057
492	1393.028466
493	1390.996555
494	1390.409006
495	1389.176395
496	1389.174195
497	1388.436941
498	1387.551164
499	1386.589137
500	1385.724936
501	1385.710075
502	1385.559942
503	1383.8148
504	1383.812369
505	1383.235042
506	1382.790798
507	1382.497478
508	1381.686146
509	1380.840753
510	1379.947434
511	1379.128158
512	1378.198803
513	1376.9582
514	1375.947104
515	1375.944997
516	1375.314872
517	1374.437259
518	1373.182695
519	1372.580321
520	1371.983418
521	1370.884875
522	1370.297167
523	1369.936917
524	1369.520605
525	1369.197394
526	1367.325557
527	1366.519015
528	1365.82799
529	1364.890954
530	1364.302918
531	1364.28738
532	1363.818693
533	1363.747631
534	1363.732278
535	1363.557738
536	1362.483573
537	1361.975221
538	1360.363502
539	1359.644551
540	1358.16272
541	1356.995102
542	1355.590247
543	1354.703786
544	1353.930992
545	1352.999158
546	1352.603867
547	1351.435099
548	1350.201174
549	1350.199594
550	1349.825452
551	1349.185638
552	1348.855517
553	1348.853748
554	1347.62453
555	1347.187671
556	1346.363226
557	1345.781149
558	1344.215287
559	1343.151808
560	1341.879224
561	1340.903602
562	1339.770029
563	1339.233649
564	1339.101639
565	1338.259538
566	1337.451884
567	1336.796546
568	1336.7943
569	1336.250118
570	1335.465408
571	1334.647913
572	1333.718868
573	1332.736593
574	1332.253483
575	1331.480528
576	1330.595832
577	1329.479055
578	1329.291866
579	1328.64691
580	1328.570404
581	1328.27284
582	1327.454619
583	1326.375572
584	1326.178498
585	1326.176435
586	1325.486747
587	1324.48116
588	1323.646855
589	1323.111755
590	1322.284966
591	1322.112707
592	1321.459731
593	1320.581406
594	1320.308715
595	1320.207897
596	1320.040561
597	1319.390085
598	1318.629863
599	1318.212365
600	1317.991078
601	1317.092638
602	1316.78073
603	1316.081501
604	1315.297453
605	1314.570413
606	1314.242711
607	1313.936864
608	1313.60339
609	1313.411354
610	1313.409183
611	1312.756609
612	1312.261198
613	1311.936975
614	1311.864197
615	1311.391285
616	1310.632526
617	1309.728397
618	1308.591266
619	1308.574467
620	1307.735341
621	1307.259808
622	1306.724622
623	1306.213351
624	1305.496139
625	1304.809711
626	1304.807476
627	1304.09799
628	1303.047982
629	1303.045802
630	1302.587621
631	1301.994561
632	1301.992255
633	1301.602324
634	1301.600716
635	1301.504957
636	1301.239911
637	1300.454925
638	1300.418336
639	1300.417457
640	1300.01859
641	1299.726356
642	1298.750157
643	1298.239106
644	1297.234876
645	1296.9766
646	1296.44085
647	1296.035827
648	1295.557031
649	1294.734543
650	1294.489115
651	1294.256313
652	1293.552245
653	1293.537759
654	1293.448031
655	1292.864861
656	1292.779495
657	1292.385174
658	1292.360349
659	1292.35867
660	1292.009046
661	1291.529168
662	1290.396091
663	1290.134566
664	1290.132893
665	1290.119215
666	1289.618208
667	1289.570961
668	1288.647854
669	1288.341824
670	1288.328696
671	1287.851499
672	1286.881419
673	1285.963496
674	1285.293383
675	1284.802744
676	1284.330323
677	1283.878903
678	1283.595808
679	1282.925123
680	1282.422855
681	1281.898577
682	1281.017371
683	1280.74521
684	1280.711881
685	1280.192985
686	1279.94377
687	1279.941904
688	1279.930149
689	1279.90776
690	1279.269044
691	1278.708225
692	1278.694731
693	1278.347163
694	1278.248007
695	1277.833771
696	1277.36895
697	1277.366772
698	1277.009999
699	1276.321143
